"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2026","21.04","21.45","21.99","20.70","1.01B","-1.73%"
"01/01/2026","21.41","21.66","23.99","20.68","2.53B","-0.88%"
"12/01/2025","21.60","22.94","23.10","21.15","1.71B","-5.80%"
"11/01/2025","22.93","22.75","23.47","22.16","1.57B","0.84%"
"10/01/2025","22.74","21.28","24.30","21.16","2.97B","7.01%"
"09/01/2025","21.25","19.20","21.63","19.07","2.03B","11.26%"
"08/01/2025","19.10","18.92","20.20","18.33","1.33B","0.95%"
"07/01/2025","18.92","20.40","20.65","18.84","1.56B","-6.98%"
"06/01/2025","20.34","21.40","23.39","19.32","4.02B","-5.31%"
"05/01/2025","21.48","17.72","21.95","17.51","4.07B","21.22%"
"04/01/2025","17.72","16.74","19.35","16.16","1.68B","4.98%"
"03/01/2025","16.88","16.75","17.53","16.02","1.80B","0.78%"
"02/01/2025","16.75","19.25","19.56","16.66","1.34B","-12.90%"
"01/01/2025","19.23","19.60","20.19","17.06","2.19B","-1.84%"
"12/01/2024","19.59","19.96","22.02","19.35","1.89B","-1.85%"
"11/01/2024","19.96","20.57","21.14","19.02","1.42B","-2.16%"
"10/01/2024","20.40","22.48","22.58","19.22","1.84B","-9.25%"
"09/01/2024","22.48","23.61","24.41","22.45","1.91B","-4.79%"
"08/01/2024","23.61","26.65","26.94","23.16","2.92B","-10.94%"
"07/01/2024","26.51","23.78","27.44","23.61","6.57B","11.90%"
"06/01/2024","23.69","24.40","24.65","21.00","3.14B","3.00%"
"05/01/2024","23.00","26.00","26.00","21.85","4.94B","-12.05%"
"04/01/2024","26.15","23.30","28.55","23.25","4.71B","12.72%"
"03/01/2024","23.20","24.90","25.70","20.55","4.94B","-5.11%"
"02/01/2024","24.45","24.10","32.85","22.60","11.71B","1.45%"
"01/01/2024","24.10","21.50","26.25","21.40","8.05B","12.35%"
"12/01/2023","21.45","19.45","23.05","19.20","5.58B","10.85%"
"11/01/2023","19.35","16.00","21.15","15.90","5.70B","21.32%"
"10/01/2023","15.95","17.25","17.85","15.70","2.14B","-7.54%"
"09/01/2023","17.25","16.85","19.10","16.70","4.92B","2.68%"
"08/01/2023","16.80","17.10","17.45","16.70","1.80B","-0.88%"
"07/01/2023","16.95","16.35","18.45","16.25","3.39B","4.31%"
"06/01/2023","16.25","16.25","17.20","15.90","1.67B","0.31%"
"05/01/2023","16.20","15.75","16.50","15.50","1.66B","3.18%"
